"ii","Dim2","rr","Val"
"coa","isr","USA",0.048352088779211
"coa","isr","ROW",0.12980743933349
"coa","obs","USA",0.211474612355232
"coa","obs","ROW",16.6315375068989
"coa","ros","USA",0.48599562048912
"coa","ros","ROW",17.9666851725087
"coa","osg","USA",1.93267500400543
"coa","osg","ROW",68.2141139064806
"coa","dwe","USA",0.00025291001657024
"coa","dwe","ROW",0.0301563926632298
"coa","pdr","ROW",2.11985317312974
"coa","wht","USA",9.42559490795247E-5
"coa","wht","ROW",2.69696338198719
"coa","gro","USA",0.000234448933042586
"coa","gro","ROW",2.81767676997697
"coa","v_f","USA",9.56031217356212E-5
"coa","v_f","ROW",10.2992249853269
"coa","osd","USA",6.26554319751449E-5
"coa","osd","ROW",1.43959222632839
"coa","c_b","ROW",0.461842782978238
"coa","pfb","USA",7.10440363036469E-5
"coa","pfb","ROW",1.28993826970873
"coa","ocr","USA",1.7838427083916E-5
"coa","ocr","ROW",0.525849254649984
"coa","ctl","USA",7.91919301263988E-5
"coa","ctl","ROW",2.18881904639784
"coa","oap","USA",4.77219764434267E-5
"coa","oap","ROW",9.1333597189423
"coa","rmk","USA",5.12540755153168E-5
"coa","rmk","ROW",1.07272566112806
"coa","wol","ROW",0.907567955080594
"coa","frs","USA",0.000156289650476538
"coa","frs","ROW",3.17017699281951
"coa","fsh","ROW",1.79146051929638
"coa","coa","USA",1.05136466026306
"coa","coa","ROW",151.624451983706
"coa","oil","USA",0.000271182856522501
"coa","oil","ROW",0.164938276522662
"coa","gas","ROW",1.25924630484184
"coa","omn","USA",0.058478657156229
"coa","omn","ROW",24.7841794096621
"coa","cmt","USA",1.99803626537323
"coa","cmt","ROW",2.00259625343824
"coa","omt","USA",0.802235901355743
"coa","omt","ROW",1.25960863476939
"coa","vol","USA",1.04269897937775
"coa","vol","ROW",5.05640694489375
"coa","mil","USA",1.22420835494995
"coa","mil","ROW",9.6436422443312
"coa","pcr","USA",0.141173273324966
"coa","pcr","ROW",0.512147052826549
"coa","sgr","USA",1.15166544914246
"coa","sgr","ROW",2.1213632565632
"coa","ofd","USA",6.40303707122803
"coa","ofd","ROW",31.1653093586792
"coa","b_t","USA",2.580326795578
"coa","b_t","ROW",25.8282946421532
"coa","tex","USA",0.309766054153442
"coa","tex","ROW",26.2891948439374
"coa","wap","USA",0.130153208971024
"coa","wap","ROW",15.5526277013505
"coa","lea","USA",0.0102671887725592
"coa","lea","ROW",2.01389826495415
"coa","lum","USA",0.127701923251152
"coa","lum","ROW",11.1131554656868
"coa","ppp","USA",14.8089742660522
"coa","ppp","ROW",60.4363872920731
"coa","p_c","ROW",29.9894717643074
"coa","crp","USA",16.0582447052002
"coa","crp","ROW",210.316476347022
"coa","nmm","USA",20.0981330871582
"coa","nmm","ROW",650.347910705859
"coa","i_s","USA",2.74970507621765
"coa","i_s","ROW",377.7111541545
"coa","nfm","USA",0.0821931287646294
"coa","nfm","ROW",49.5695163563141
"coa","fmp","USA",0.0995219200849533
"coa","fmp","ROW",20.3862470114263
"coa","mvh","USA",0.255497127771378
"coa","mvh","ROW",8.11205601878009
"coa","otn","USA",0.101549327373505
"coa","otn","ROW",5.18663874528738
"coa","ele","USA",0.0971306338906288
"coa","ele","ROW",3.88244111281529
"coa","ome","USA",0.481907308101654
"coa","ome","ROW",26.672242520315
"coa","omf","USA",0.207163110375404
"coa","omf","ROW",14.3097694587177
"coa","ely","USA",1696.65295410156
"coa","ely","ROW",6033.07995225358
"coa","wtr","USA",0.603982150554657
"coa","wtr","ROW",4.60220766105795
"coa","cns","USA",0.0457366481423378
"coa","cns","ROW",30.3957906962528
"coa","trd","USA",1.98318302631378
"coa","trd","ROW",38.0837230568468
"coa","otp","USA",0.0363030806183815
"coa","otp","ROW",17.0422043500857
"coa","wtp","USA",0.184296533465385
"coa","wtp","ROW",0.700292093093594
"coa","atp","USA",0.000757478061132133
"coa","atp","ROW",0.374126118180357
"coa","cmn","USA",0.0651615932583809
"coa","cmn","ROW",0.99914302005709
"coa","ofi","USA",0.209594085812569
"coa","ofi","ROW",0.781044968021888
"coa","c","USA",0.246664568781853
"coa","c","ROW",252.415995808016
"coa","g","USA",0.00288669345900416
"coa","g","ROW",0.0146200354211032
"oil","isr","ROW",0.0008420273441061
"oil","obs","USA",8.30877543194219E-5
"oil","obs","ROW",0.118979652805365
"oil","ros","ROW",0.0453343364256398
"oil","osg","USA",2.34156595979584E-6
"oil","osg","ROW",0.0133817542925954
"oil","dwe","ROW",6.57142918498721E-5
"oil","pdr","ROW",4.87551833430189E-5
"oil","wht","ROW",0.000444239958028447
"oil","gro","USA",1.48292394896998E-6
"oil","gro","ROW",0.000292929436227496
"oil","v_f","ROW",0.00311051062442402
"oil","osd","ROW",0.000198929015141402
"oil","c_b","ROW",0.000124661547488358
"oil","pfb","ROW",0.00139033606410521
"oil","ocr","ROW",0.000549286673276583
"oil","ctl","ROW",0.000581997764811604
"oil","oap","ROW",0.000274590153026111
"oil","rmk","ROW",0.000303471216739126
"oil","wol","ROW",7.95579449004435E-5
"oil","frs","USA",5.86353098697145E-6
"oil","frs","ROW",0.0361543489398173
"oil","fsh","USA",1.19760784400569E-6
"oil","fsh","ROW",0.00804068002469194
"oil","coa","USA",1.9061257262365E-5
"oil","coa","ROW",0.0144973507024133
"oil","oil","USA",0.0771923586726189
"oil","oil","ROW",10.0614915969456
"oil","gas","USA",0.395135566592216
"oil","gas","ROW",5.18231782972771
"oil","cmt","USA",0.000190074933925644
"oil","cmt","ROW",0.316201209117935
"oil","omt","USA",5.94305965933017E-5
"oil","omt","ROW",0.196491744667583
"oil","vol","USA",5.30902616446838E-5
"oil","vol","ROW",0.131018025245794
"oil","mil","USA",0.000128371626487933
"oil","mil","ROW",0.55592617118873
"oil","pcr","ROW",0.0313963784008138
"oil","sgr","USA",4.4921922381036E-5
"oil","sgr","ROW",0.0418334669484466
"oil","ofd","USA",0.00017080016550608
"oil","ofd","ROW",2.02550235965919
"oil","b_t","USA",0.000272613688139245
"oil","b_t","ROW",1.01408668941986
"oil","tex","USA",3.30575348925777E-5
"oil","tex","ROW",1.6986865308254
"oil","wap","ROW",0.135492033393348
"oil","lea","ROW",0.054144704715327
"oil","lum","USA",0.000846172741148621
"oil","lum","ROW",0.131884872527735
"oil","p_c","ROW",3.90046279788976
"oil","crp","USA",0.013493767939508
"oil","crp","ROW",3.63797846610066
"oil","nmm","USA",0.00031237505027093
"oil","nmm","ROW",3.07728682995184
"oil","i_s","USA",0.000312647724058479
"oil","i_s","ROW",1.44976261160809
"oil","fmp","USA",0.000112658635771368
"oil","fmp","ROW",0.341030138555425
"oil","ele","USA",3.93170703318901E-5
"oil","ele","ROW",0.0285534739628019
"oil","ome","USA",0.000985759077593684
"oil","ome","ROW",2.49928911155621
"oil","omf","USA",6.22317793386173E-6
"oil","omf","ROW",0.76050561848615
"oil","ely","USA",0.0454529039561749
"oil","ely","ROW",100.752581214854
"oil","wtr","USA",0.00204595364630222
"oil","wtr","ROW",1.09836516441851
"oil","cns","USA",0.000136766015202738
"oil","cns","ROW",3.12256650227482
"oil","trd","USA",0.00139800598844886
"oil","trd","ROW",0.0751582708151091
"oil","cmn","ROW",0.19735678321581
"oil","ofi","USA",6.41637052467559E-6
"oil","ofi","ROW",0.0054015811415411
"gas","isr","USA",0.65841737575829
"gas","isr","ROW",0.495984614233294
"gas","obs","USA",8.51309514045715
"gas","obs","ROW",19.7117328616823
"gas","ros","USA",18.9713991777971
"gas","ros","ROW",9.0842478740708
"gas","osg","USA",69.1781089603901
"gas","osg","ROW",42.1083530133087
"gas","dwe","USA",0.0342669896781445
"gas","dwe","ROW",0.02704205638247
"gas","pdr","USA",0.0386746625890737
"gas","pdr","ROW",0.0180683340915948
"gas","wht","USA",0.321727864444256
"gas","wht","ROW",0.260034077841283
"gas","gro","USA",1.0108931864379
"gas","gro","ROW",0.613633554955413
"gas","v_f","USA",0.694193815405015
"gas","v_f","ROW",1.46231607929326
"gas","osd","USA",0.641412787081208
"gas","osd","ROW",0.355478240868251
"gas","c_b","USA",0.0474660487961955
"gas","c_b","ROW",0.041673531376091
"gas","pfb","USA",0.273277840715309
"gas","pfb","ROW",0.34590110922295
"gas","ocr","USA",0.0556364448657405
"gas","ocr","ROW",0.608896135096074
"gas","ctl","USA",0.0289222948158567
"gas","ctl","ROW",0.213633671967045
"gas","oap","USA",0.00484571739070816
"gas","oap","ROW",0.652451659398594
"gas","rmk","USA",0.00874487467081053
"gas","rmk","ROW",0.177664749421638
"gas","wol","ROW",0.0473744594987693
"gas","frs","USA",0.0482385316863656
"gas","frs","ROW",0.986974669052415
"gas","fsh","USA",0.00354862405220047
"gas","fsh","ROW",0.582796567435025
"gas","coa","USA",0.104059513891116
"gas","coa","ROW",0.249361785005476
"gas","oil","USA",22.3001919984818
"gas","oil","ROW",118.075987170259
"gas","gas","USA",70.6926094740629
"gas","gas","ROW",241.603413587463
"gas","omn","USA",5.39940208382905
"gas","omn","ROW",37.6366305489446
"gas","cmt","USA",4.84898370422889
"gas","cmt","ROW",2.98785302381702
"gas","omt","USA",2.22964875155594
"gas","omt","ROW",1.83505287695971
"gas","vol","USA",2.51792732835747
"gas","vol","ROW",4.52098786168062
"gas","mil","USA",3.0738509753719
"gas","mil","ROW",6.78973964018451
"gas","pcr","USA",0.234839153067696
"gas","pcr","ROW",1.79117859909729
"gas","sgr","USA",3.01528697139292
"gas","sgr","ROW",2.41374745828716
"gas","ofd","USA",16.4928147103637
"gas","ofd","ROW",18.77314091879
"gas","b_t","USA",3.43865875154734
"gas","b_t","ROW",8.11734839304245
"gas","tex","USA",1.81796850558021
"gas","tex","ROW",4.5156044851301
"gas","wap","USA",0.988710343837738
"gas","wap","ROW",1.68443142683259
"gas","lea","USA",0.110924609005451
"gas","lea","ROW",0.842592307488076
"gas","lum","USA",2.16678869351745
"gas","lum","ROW",2.43694765176929
"gas","ppp","USA",18.6683927364647
"gas","ppp","ROW",23.9690913824202
"gas","p_c","USA",16.8139148950577
"gas","p_c","ROW",118.024034611123
"gas","crp","USA",45.8124141693115
"gas","crp","ROW",158.347628060626
"gas","nmm","USA",19.8316929452121
"gas","nmm","ROW",85.9644951501418
"gas","i_s","USA",21.8168728780001
"gas","i_s","ROW",85.4674897194041
"gas","nfm","USA",8.52942243218422
"gas","nfm","ROW",20.9964551479641
"gas","fmp","USA",7.82297579571605
"gas","fmp","ROW",14.7319688673128
"gas","mvh","USA",5.46786458883435
"gas","mvh","ROW",8.79135193175523
"gas","otn","USA",2.24085336038843
"gas","otn","ROW",5.80981839503113
"gas","ele","USA",3.95754922280321
"gas","ele","ROW",6.10876704623411
"gas","ome","USA",11.2070963308215
"gas","ome","ROW",26.8562147233988
"gas","omf","USA",2.09616037015803
"gas","omf","ROW",13.3408053367023
"gas","ely","USA",417.416595458984
"gas","ely","ROW",1345.42177478933
"gas","wtr","USA",13.6568122506142
"gas","wtr","ROW",14.9119777435503
"gas","cns","USA",1.07307079900056
"gas","cns","ROW",6.70570986458688
"gas","trd","USA",38.2215582132339
"gas","trd","ROW",41.2685680117402
"gas","otp","USA",36.1036071777344
"gas","otp","ROW",126.582716149967
"gas","wtp","USA",2.21296850197541
"gas","wtp","ROW",4.52831726800741
"gas","atp","USA",1.58648053102661
"gas","atp","ROW",5.23726663505931
"gas","cmn","USA",1.04808757267892
"gas","cmn","ROW",3.79382427770406
"gas","ofi","USA",6.25091271381825
"gas","ofi","ROW",3.29818246677587
"gas","c","USA",261.912926785648
"gas","c","ROW",592.098368913743
"gas","g","ROW",0.0308398833553838
"p_c","isr","USA",0.222831979393959
"p_c","isr","ROW",5.11765554798285
"p_c","obs","USA",3.4503378868103
"p_c","obs","ROW",48.303344843885
"p_c","ros","USA",7.45032930374146
"p_c","ros","ROW",17.3000741286658
"p_c","osg","USA",16.7679615020752
"p_c","osg","ROW",77.6100910380169
"p_c","dwe","USA",0.00683557940647006
"p_c","dwe","ROW",0.0811127806476861
"p_c","pdr","USA",0.617994487285614
"p_c","pdr","ROW",8.25276358640826
"p_c","wht","USA",5.11771154403687
"p_c","wht","ROW",17.4052687733026
"p_c","gro","USA",10.6106090545654
"p_c","gro","ROW",19.2792542370134
"p_c","v_f","USA",7.38787746429443
"p_c","v_f","ROW",42.1207709830285
"p_c","osd","USA",2.78426933288574
"p_c","osd","ROW",16.1769906974032
"p_c","c_b","USA",0.232292309403419
"p_c","c_b","ROW",5.73596989487964
"p_c","pfb","USA",0.816622316837311
"p_c","pfb","ROW",9.15629910171583
"p_c","ocr","USA",1.94717371463776
"p_c","ocr","ROW",21.0275660499127
"p_c","ctl","USA",1.51170551776886
"p_c","ctl","ROW",8.40018380014249
"p_c","oap","USA",4.37067461013794
"p_c","oap","ROW",10.8917928743634
"p_c","rmk","USA",1.23430490493774
"p_c","rmk","ROW",7.46377576542864
"p_c","wol","ROW",1.99384147216551
"p_c","frs","USA",0.651314437389374
"p_c","frs","ROW",16.646505059638
"p_c","fsh","USA",3.05743360519409
"p_c","fsh","ROW",39.029335731675
"p_c","coa","USA",0.024069681763649
"p_c","coa","ROW",14.1443951709673
"p_c","oil","USA",0.00954833440482616
"p_c","oil","ROW",15.9638814318205
"p_c","gas","USA",0.018951487261802
"p_c","gas","ROW",11.6458270475061
"p_c","omn","USA",0.382234275341034
"p_c","omn","ROW",60.7545280360976
"p_c","cmt","USA",0.872399508953094
"p_c","cmt","ROW",1.77302569622543
"p_c","omt","USA",0.371480762958527
"p_c","omt","ROW",1.69921100361569
"p_c","vol","USA",0.295172363519669
"p_c","vol","ROW",2.55462055827627
"p_c","mil","USA",1.15264821052551
"p_c","mil","ROW",4.39747353060443
"p_c","pcr","USA",0.0768370851874352
"p_c","pcr","ROW",1.17466120148617
"p_c","sgr","USA",0.360618680715561
"p_c","sgr","ROW",1.66885978493752
"p_c","ofd","USA",4.21934604644775
"p_c","ofd","ROW",17.5071216721792
"p_c","b_t","USA",1.35555648803711
"p_c","b_t","ROW",8.30480382419546
"p_c","tex","USA",0.477971583604813
"p_c","tex","ROW",7.92540310284585
"p_c","wap","USA",0.20125338435173
"p_c","wap","ROW",3.46728210418905
"p_c","lea","USA",0.0585976839065552
"p_c","lea","ROW",2.71618194468374
"p_c","lum","USA",8.62448024749756
"p_c","lum","ROW",4.80859151367895
"p_c","ppp","USA",8.87396430969238
"p_c","ppp","ROW",16.6679438940778
"p_c","p_c","USA",112.507476806641
"p_c","p_c","ROW",347.565802959503
"p_c","crp","USA",17.3496475219727
"p_c","crp","ROW",194.097832841004
"p_c","nmm","USA",12.0429334640503
"p_c","nmm","ROW",129.004624435882
"p_c","i_s","USA",11.5863475799561
"p_c","i_s","ROW",279.496210747151
"p_c","nfm","USA",1.40152788162231
"p_c","nfm","ROW",34.2102475979227
"p_c","fmp","USA",1.08083808422089
"p_c","fmp","ROW",16.0560933419638
"p_c","mvh","USA",1.27003753185272
"p_c","mvh","ROW",7.78367246593939
"p_c","otn","USA",0.854051828384399
"p_c","otn","ROW",5.38550115635462
"p_c","ele","USA",0.589036464691162
"p_c","ele","ROW",11.530960369184
"p_c","ome","USA",2.4645848274231
"p_c","ome","ROW",36.5099308833389
"p_c","omf","USA",0.764550566673279
"p_c","omf","ROW",16.0643047267904
"p_c","ely","USA",22.3679485321045
"p_c","ely","ROW",536.792306007939
"p_c","wtr","USA",1.97782695293427
"p_c","wtr","ROW",3.18366977142819
"p_c","cns","USA",11.7468938827515
"p_c","cns","ROW",68.3775437833283
"p_c","trd","USA",12.124794960022
"p_c","trd","ROW",68.2517849820949
"p_c","otp","USA",518.834655761719
"p_c","otp","ROW",1783.68266512966
"p_c","wtp","USA",32.1338386535645
"p_c","wtp","ROW",334.217332710476
"p_c","atp","USA",321.658142089844
"p_c","atp","ROW",358.603181462277
"p_c","cmn","USA",0.319140255451202
"p_c","cmn","ROW",8.87451527858184
"p_c","ofi","USA",1.08437716960907
"p_c","ofi","ROW",8.92907918565822
"p_c","c","USA",623.603393554688
"p_c","c","ROW",1432.68551454146
"p_c","g","USA",0.00013299695274327
"p_c","g","ROW",0.027267661179053
