"ii","Val"
"isr",3.79999995231628
"obs",3.79999995231629
"ros",3.79999995231628
"osg",3.79999995231628
"pdr",10.1000003814697
"wht",8.89999961853028
"gro",2.59999990463257
"v_f",3.70000004768372
"osd",4.90000009536743
"c_b",5.40000009536744
"pfb",5
"ocr",6.5
"ctl",4
"oap",2.59999990463257
"rmk",7.30000019073486
"wol",12.8999996185303
"frs",5
"fsh",2.5
"coa",6.09999990463257
"oil",10.3999996185303
"gas",31.8313578384459
"omn",1.79999995231629
"cmt",7.69999980926514
"omt",8.80000019073486
"vol",6.59999990463257
"mil",7.30000019073486
"pcr",5.19999980926514
"sgr",5.40000009536743
"ofd",4
"b_t",2.29999995231628
"tex",7.5
"wap",7.40000009536744
"lea",8.10000038146973
"lum",6.80000019073486
"ppp",5.90000009536743
"p_c",4.19999980926514
"crp",6.59999990463257
"nmm",5.80000019073486
"i_s",5.90000009536743
"nfm",8.39999961853027
"fmp",7.5
"mvh",5.59999990463257
"otn",8.60000038146972
"ele",8.80000019073487
"ome",8.10000038146973
"omf",7.5
"ely",5.59999990463257
"wtr",5.59999990463257
"cns",3.79999995231628
"trd",3.79999995231628
"otp",3.79999995231628
"wtp",3.79999995231629
"atp",3.79999995231629
"cmn",3.79999995231628
"ofi",3.79999995231629
