"ii","rr","Val"
"isr","USA",1.00747040473984
"isr","ROW",1.04162887736627
"obs","USA",1.02422895879545
"obs","ROW",1.1436935601267
"ros","USA",1.02017135403207
"ros","ROW",1.10873184799802
"osg","USA",1.02017135403207
"osg","ROW",1.11491099467519
"dwe","USA",1.02017135403207
"dwe","ROW",1.09530833266189
"pdr","USA",0.00961971512263471
"pdr","ROW",0.607302138517433
"wht","USA",0.00961971512263471
"wht","ROW",0.328367711463626
"gro","USA",0.00961971512263471
"gro","ROW",0.51523042770556
"v_f","USA",0.00961971512263471
"v_f","ROW",0.371277793554525
"osd","USA",0.00961971512263471
"osd","ROW",0.541224468596104
"c_b","USA",0.00961971512263471
"c_b","ROW",0.402443523466125
"pfb","USA",0.912596972208588
"pfb","ROW",0.765637742373906
"ocr","USA",0.00961971512263471
"ocr","ROW",0.333805168219376
"ctl","USA",0.917208741321358
"ctl","ROW",0.828676600972088
"oap","USA",0.917208741321358
"oap","ROW",0.751541330943454
"rmk","USA",0.917208741321358
"rmk","ROW",0.78662736060161
"wol","USA",0.912596972208588
"wol","ROW",0.77668996662679
"frs","USA",1.00714637100703
"frs","ROW",0.967350337377499
"fsh","USA",0.917208741321358
"fsh","ROW",0.790329913561435
"coa","USA",1.00747040473984
"coa","ROW",1.07441165165814
"oil","USA",0.993807855668176
"oil","ROW",1.03406273194555
"gas","USA",1.00747040473984
"gas","ROW",1.05738766694884
"omn","USA",1.00714637100703
"omn","ROW",1.03717117025121
"cmt","USA",0.917208741321358
"cmt","ROW",0.820018142296709
"omt","USA",0.917208741321358
"omt","ROW",0.805403235730561
"vol","USA",0.861338643858097
"vol","ROW",0.694674451884646
"mil","USA",0.917208741321358
"mil","ROW",0.820553870815738
"pcr","USA",0.00961971512263471
"pcr","ROW",0.453218641077061
"sgr","USA",0.861338643858097
"sgr","ROW",0.719863972084181
"ofd","USA",0.861338643858097
"ofd","ROW",0.731240467168042
"b_t","USA",0.861338643858097
"b_t","ROW",0.743366558505463
"tex","USA",0.912596972208588
"tex","ROW",0.828565245574928
"wap","USA",0.912596972208588
"wap","ROW",0.817170406450573
"lea","USA",0.912596972208588
"lea","ROW",0.814852105249723
"lum","USA",1.00714637100703
"lum","ROW",1.0611408879204
"ppp","USA",1.00714637100703
"ppp","ROW",1.03507821331938
"p_c","USA",0.993807855668176
"p_c","ROW",1.01153345687711
"crp","USA",1.00714637100703
"crp","ROW",1.03737139606514
"nmm","USA",1.00714637100703
"nmm","ROW",1.03415792194979
"i_s","USA",1.00714637100703
"i_s","ROW",1.06713457651827
"nfm","USA",1.00714637100703
"nfm","ROW",1.06455559266857
"fmp","USA",1.00714637100703
"fmp","ROW",1.03397200735949
"mvh","USA",1.00714637100703
"mvh","ROW",1.03695002639874
"otn","USA",0.993807855668176
"otn","ROW",1.01469162007952
"ele","USA",1.00714637100703
"ele","ROW",1.03508996455145
"ome","USA",1.00714637100703
"ome","ROW",1.03417482348946
"omf","USA",1.00714637100703
"omf","ROW",1.03517644347313
"ely","USA",1.00747040473984
"ely","ROW",1.06041000086016
"wtr","USA",1.00747040473984
"wtr","ROW",1.05365415708441
"cns","USA",1.00747040473984
"cns","ROW",1.05885448001865
"trd","USA",1.02316808964486
"trd","ROW",1.1274769800734
"otp","USA",0.993807855668176
"otp","ROW",1.01250630962976
"wtp","USA",0.993807855668176
"wtp","ROW",1.01326365598398
"atp","USA",0.993807855668176
"atp","ROW",1.01165496135708
"cmn","USA",0.993807855668176
"cmn","ROW",1.00925102511896
"ofi","USA",1.02422895879545
"ofi","ROW",1.15138201284299
