"ii","Dim2","rr","Val"
"coa","isr","USA",0.000451228290330619
"coa","isr","ROW",0.0147055028048726
"coa","obs","USA",0.000843995716422796
"coa","obs","ROW",0.465372260167669
"coa","ros","USA",0.00515679223462939
"coa","ros","ROW",0.357493419119464
"coa","osg","USA",0.00837872922420502
"coa","osg","ROW",1.06301192659316
"coa","dwe","ROW",0.000570977618053803
"coa","pdr","ROW",0.0366719205248955
"coa","wht","ROW",0.0263880888949188
"coa","gro","ROW",0.032199999741124
"coa","v_f","ROW",0.121946259762353
"coa","osd","ROW",0.0123654864578384
"coa","c_b","ROW",0.00636354990024302
"coa","pfb","ROW",0.0144766140456341
"coa","ocr","ROW",0.0149723442373215
"coa","ctl","ROW",0.0271441487468564
"coa","oap","ROW",0.103490749249659
"coa","rmk","ROW",0.0223553049665952
"coa","wol","ROW",0.0505288466808906
"coa","frs","ROW",0.0560226104898902
"coa","fsh","ROW",0.0272391209998659
"coa","coa","USA",0.000205252144951373
"coa","coa","ROW",1.810766102446
"coa","oil","ROW",0.00340178073929565
"coa","gas","USA",0.00175421952735633
"coa","gas","ROW",0.323261550804773
"coa","omn","ROW",0.549091229342139
"coa","cmt","USA",7.74739528424107E-5
"coa","cmt","ROW",0.0388165650467727
"coa","omt","USA",6.67529093334451E-6
"coa","omt","ROW",0.0505386325908148
"coa","vol","USA",0.000420723663410172
"coa","vol","ROW",0.243908149552681
"coa","mil","USA",0.00054737483151257
"coa","mil","ROW",0.2578986848971
"coa","pcr","USA",2.53773596341489E-5
"coa","pcr","ROW",0.00859797247039751
"coa","sgr","USA",0.000284111389191821
"coa","sgr","ROW",0.0747542481285564
"coa","ofd","USA",0.00900301430374384
"coa","ofd","ROW",1.1639079354527
"coa","b_t","USA",8.43302841531113E-5
"coa","b_t","ROW",0.395103562925897
"coa","tex","USA",4.75813321827445E-5
"coa","tex","ROW",0.786877566556086
"coa","wap","USA",5.94020502830972E-6
"coa","wap","ROW",0.207673885807253
"coa","lea","ROW",0.0410681273995124
"coa","lum","USA",0.000449038867373019
"coa","lum","ROW",0.19510268645422
"coa","ppp","USA",0.00329846609383821
"coa","ppp","ROW",3.60683548680117
"coa","p_c","USA",4.3732795715332
"coa","p_c","ROW",164.042913742132
"coa","crp","USA",0.00615547131747007
"coa","crp","ROW",11.0742997334464
"coa","nmm","USA",0.043909665197134
"coa","nmm","ROW",39.3906817454977
"coa","i_s","USA",0.00118335289880633
"coa","i_s","ROW",20.8199411110065
"coa","nfm","USA",0.000180061659193598
"coa","nfm","ROW",1.33161884200877
"coa","fmp","USA",4.6681503590662E-5
"coa","fmp","ROW",0.898217750799404
