"ii","rr","rr_1","Val"
"coa","USA","ROW",59.086340571733
"coa","ROW","USA",6.67040451464391
"coa","ROW","ROW",624.213684061498
"oil","ROW","USA",471.162096957076
"oil","ROW","ROW",1573.70435548061
"gas","USA","ROW",36.8654654263437
"gas","ROW","USA",85.0199035963326
"gas","ROW","ROW",714.805597779616
"p_c","USA","ROW",153.578743885912
"p_c","ROW","USA",116.616373609382
"p_c","ROW","ROW",861.012262932896
"ely","USA","ROW",1.28479861080444
"ely","ROW","USA",4.46313370149448
"ely","ROW","ROW",45.032194914387
