"ff","Dim2","rr","Val"
"lnd","pdr","USA",-0.150507414441476
"lnd","pdr","ROW",-0.108743898835707
"lnd","wht","USA",-0.336894000954179
"lnd","wht","ROW",-0.0787537764928233
"lnd","gro","USA",-0.307503357137217
"lnd","gro","ROW",-0.105605054792611
"lnd","v_f","USA",-0.069788228214409
"lnd","v_f","ROW",-0.0426729306739165
"lnd","osd","USA",-0.239423946788345
"lnd","osd","ROW",-0.0966414506549253
"lnd","c_b","USA",-0.128791628604738
"lnd","c_b","ROW",-0.00877792450054579
"lnd","pfb","USA",-0.369388852245724
"lnd","pfb","ROW",-0.0202202357027069
"lnd","ocr","USA",-0.125287884737962
"lnd","ocr","ROW",-0.00730166004204895
"lnd","ctl","USA",-0.0259334002389718
"lnd","ctl","ROW",-0.00315899177626675
"lnd","oap","USA",-0.024875266572657
"lnd","oap","ROW",-0.00342216866275091
"lnd","rmk","USA",-0.0265225761306513
"lnd","rmk","ROW",-0.00272972682850399
"lnd","wol","ROW",-0.00130244897968197
"lab","isr","USA",0.151233932362024
"lab","isr","ROW",0.191627964833518
"lab","obs","USA",0.151233943870162
"lab","obs","ROW",0.231230794340044
"lab","ros","USA",0.151233964882094
"lab","ros","ROW",0.185683493254096
"lab","osg","USA",0.151233878962866
"lab","osg","ROW",0.205045796818993
"lab","dwe","USA",0.151233900818748
"lab","dwe","ROW",0.0957706963701539
"lab","pdr","USA",0.0304341506169951
"lab","pdr","ROW",0.0195649591602868
"lab","wht","USA",0.0256970909862993
"lab","wht","ROW",0.125722379626269
"lab","gro","USA",0.027726627194525
"lab","gro","ROW",0.105741372942392
"lab","v_f","USA",0.0283424592441211
"lab","v_f","ROW",0.0705774442448589
"lab","osd","USA",0.0319804346334687
"lab","osd","ROW",0.0833581519269184
"lab","c_b","USA",0.0267238190245871
"lab","c_b","ROW",0.0890092959331016
"lab","pfb","USA",0.0252261617083707
"lab","pfb","ROW",0.0394890684536819
"lab","ocr","USA",0.0275564079393376
"lab","ocr","ROW",0.12973242741651
"lab","ctl","USA",0.02342264067092
"lab","ctl","ROW",0.0761036805251993
"lab","oap","USA",0.0249023742384664
"lab","oap","ROW",0.0629990604658003
"lab","rmk","USA",0.0221077189350676
"lab","rmk","ROW",0.131451590386223
"lab","wol","ROW",0.0373019943488728
"lab","frs","USA",0.151233900381104
"lab","frs","ROW",0.0838072206485307
"lab","fsh","USA",0.151233974655854
"lab","fsh","ROW",0.0428500010885064
"lab","coa","USA",0.151233987622499
"lab","coa","ROW",0.0926200486361192
"lab","oil","USA",0.151233927248392
"lab","oil","ROW",0.191815050014606
"lab","gas","USA",0.151233916711965
"lab","gas","ROW",0.199550940364312
"lab","omn","USA",0.151233887417475
"lab","omn","ROW",0.0882198560415458
"lab","cmt","USA",0.151233940947798
"lab","cmt","ROW",0.181267907075253
"lab","omt","USA",0.15123391971621
"lab","omt","ROW",0.172789332461003
"lab","vol","USA",0.151233943702684
"lab","vol","ROW",0.113372924250724
"lab","mil","USA",0.151233948682826
"lab","mil","ROW",0.213221370126638
"lab","pcr","USA",0.151233933012624
"lab","pcr","ROW",0.0503372612591517
"lab","sgr","USA",0.151233911827344
"lab","sgr","ROW",0.189888580909242
"lab","ofd","USA",0.151233941815418
"lab","ofd","ROW",0.187203439775277
"lab","b_t","USA",0.151233959632553
"lab","b_t","ROW",0.187936182597878
"lab","tex","USA",0.151233952127972
"lab","tex","ROW",0.120401923959111
"lab","wap","USA",0.151233967287419
"lab","wap","ROW",0.141873099582963
"lab","lea","USA",0.151233932622567
"lab","lea","ROW",0.150330610955157
"lab","lum","USA",0.151233930965889
"lab","lum","ROW",0.188958323382279
"lab","ppp","USA",0.151233928141857
"lab","ppp","ROW",0.224998297690325
"lab","p_c","USA",0.151233934824611
"lab","p_c","ROW",0.157272005228776
"lab","crp","USA",0.151233947114497
"lab","crp","ROW",0.187199466545145
"lab","nmm","USA",0.151233887872448
"lab","nmm","ROW",0.154877346084788
