"ii","Dim2","rr","Val"
"isr","osg","ROW",3.50414968178912E-10
"isr","pdr","USA",-0.053087145303804
"isr","pdr","ROW",-0.0132261961839599
"isr","wht","USA",-0.049846517820778
"isr","wht","ROW",-0.0148479852536483
"isr","gro","USA",-0.0461020871918375
"isr","gro","ROW",-0.0238314638959635
"isr","v_f","USA",-0.0452914045267417
"isr","v_f","ROW",-0.00786857840095692
"isr","osd","USA",-0.0466264162320837
"isr","osd","ROW",-0.013899447936323
"isr","c_b","USA",-0.0444846736840827
"isr","c_b","ROW",-0.0167464654497264
"isr","pfb","USA",-0.0440627762412753
"isr","pfb","ROW",-0.0141609507554741
"isr","ocr","USA",-0.0495049876781355
"isr","ocr","ROW",-0.00681338949494392
"isr","ctl","USA",-0.035806061913088
"isr","ctl","ROW",-0.00678164771873715
"isr","oap","USA",-0.0322813933641782
"isr","oap","ROW",-0.00921625372286456
"isr","rmk","USA",-0.0363135628781476
"isr","rmk","ROW",-0.0086152731276297
"isr","wol","ROW",-0.00979149823768393
"isr","coa","ROW",-3.30487369347764E-9
"isr","oil","ROW",1.01546260330726E-7
"isr","gas","ROW",-1.20948374823983E-8
"isr","omn","ROW",4.89706704913373E-9
"isr","cmt","ROW",-2.31808654871474E-10
"isr","sgr","ROW",5.40577985940192E-9
"isr","p_c","ROW",-6.74424559745494E-10
"isr","nmm","ROW",-1.74661672780513E-12
"isr","i_s","ROW",3.47243983686909E-11
"isr","nfm","ROW",-4.83204994974075E-9
"isr","fmp","ROW",-1.90173425680674E-12
"isr","ome","ROW",1.10961572971241E-12
"isr","omf","ROW",-8.37697025867783E-10
"isr","ely","ROW",3.37556503059138E-10
"isr","wtr","ROW",1.28892530664813E-11
"isr","wtp","ROW",8.08110148760118E-13
"isr","c","ROW",0.0910959957376481
"isr","g","ROW",0.00676500951240921
"isr","i","ROW",0.000804554620813278
"obs","obs","ROW",-2.42600555755361E-12
"obs","dwe","ROW",-7.39773468642077E-12
"obs","pdr","USA",-0.0530872329433629
"obs","pdr","ROW",-0.00993635602833412
"obs","wht","USA",-0.0498464137146144
"obs","wht","ROW",-0.00774289792522875
"obs","gro","USA",-0.0461019594042894
"obs","gro","ROW",-0.00755714817293581
"obs","v_f","USA",-0.0452913627110274
"obs","v_f","ROW",-0.00513367957228863
"obs","osd","USA",-0.0466263763070972
"obs","osd","ROW",-0.00435866281530718
"obs","c_b","USA",-0.0444847309248453
"obs","c_b","ROW",-0.00836274762647852
"obs","pfb","USA",-0.0440627913753573
"obs","pfb","ROW",-0.0100253912465823
"obs","ocr","USA",-0.0495049389054139
"obs","ocr","ROW",-0.00490014682083063
"obs","ctl","USA",-0.0358060556955159
"obs","ctl","ROW",-0.00458166337319514
"obs","oap","USA",-0.0322814467799832
"obs","oap","ROW",-0.0097835249274846
"obs","rmk","USA",-0.0363136527952425
"obs","rmk","ROW",-0.00669949389998101
"obs","wol","ROW",-0.00849199408738221
"obs","frs","ROW",-2.24822085066886E-9
"obs","coa","ROW",2.9131103038533E-10
"obs","gas","ROW",6.95182367789628E-10
"obs","mil","ROW",5.16209475029868E-11
"obs","pcr","ROW",-4.15641278142175E-11
"obs","sgr","ROW",-7.52233252937437E-10
"obs","b_t","ROW",-3.32926676518285E-10
"obs","p_c","ROW",4.16799773678849E-12
"obs","crp","ROW",-3.83831757182636E-11
"obs","nfm","ROW",1.47492584957284E-12
