"ii","Dim2","rr","Val"
"isr","pdr","USA",-0.0530871378724438
"isr","pdr","ROW",-0.0128432486921809
"isr","wht","USA",-0.0498465196382222
"isr","wht","ROW",-0.00404327270756873
"isr","gro","USA",-0.0461020703131786
"isr","gro","ROW",-0.00626154051400673
"isr","v_f","USA",-0.0452914547887593
"isr","v_f","ROW",-0.00405110378424511
"isr","osd","USA",-0.0466263385989545
"isr","osd","ROW",-0.00945349807886569
"isr","c_b","USA",-0.044484761155734
"isr","c_b","ROW",-0.0152710574975892
"isr","pfb","USA",-0.0440628023967726
"isr","pfb","ROW",-0.00248021261001519
"isr","ocr","USA",-0.0495049553937054
"isr","ocr","ROW",-0.00628443085481254
"isr","ctl","USA",-0.0358060630889693
"isr","ctl","ROW",-0.00453563886121992
"isr","oap","USA",-0.0322813783547929
"isr","oap","ROW",-0.00561120592138563
"isr","rmk","USA",-0.0363135779368136
"isr","rmk","ROW",-0.00752780074273593
"isr","wol","ROW",-0.00687438348723368
"isr","fsh","ROW",1.70894976161401E-8
"isr","coa","ROW",2.09602667912606E-9
"isr","oil","ROW",9.73421072470291E-8
"isr","gas","ROW",1.50818328947835E-8
"isr","omn","ROW",8.04245294797517E-8
"isr","cmt","ROW",-2.46800904620479E-10
"isr","omt","ROW",2.84254630625323E-10
"isr","b_t","ROW",-4.98096464599298E-11
"isr","lum","ROW",-3.22860622255123E-11
"isr","p_c","ROW",3.3926750219857E-10
"isr","nmm","ROW",-7.93508316378689E-10
"isr","i_s","ROW",-2.88262803662064E-11
"isr","nfm","ROW",-2.94871885202688E-9
"isr","fmp","ROW",-6.88794902541732E-12
"isr","otn","ROW",2.60962505782496E-11
"isr","omf","ROW",2.38974610527657E-9
"isr","ely","ROW",-1.06555877519739E-9
"isr","trd","ROW",3.45478963363326E-9
"isr","cmn","ROW",7.06625658387483E-11
"isr","c","ROW",0.125968486950617
"isr","g","ROW",0.00285992711045372
"isr","i","ROW",0.00266365182008415
"obs","pdr","ROW",-0.0104531055616677
"obs","wht","USA",-0.0498465584429275
"obs","wht","ROW",-0.00642470953874699
"obs","gro","USA",-0.0461020518450338
"obs","gro","ROW",-0.00861744312658428
