"ii","rr","ss","Val"
"pdr","USA","ROW",0.112233121126727
"pdr","ROW","USA",0.0114855358156627
"pdr","ROW","ROW",0.0569233475402408
"wht","USA","ROW",0.0692771344416872
"wht","ROW","USA",0.000663795559514403
"wht","ROW","ROW",0.0716192513003968
"gro","USA","ROW",0.541161433844082
"gro","ROW","USA",0.00011753468334422
"gro","ROW","ROW",0.104107751506503
"v_f","USA","ROW",0.0669413433908628
"v_f","ROW","USA",0.00142863134808031
"v_f","ROW","ROW",0.0605894479408105
"osd","USA","ROW",0.0949747452161771
"osd","ROW","USA",0.00311090464895087
"osd","ROW","ROW",0.0789894270194377
"c_b","USA","ROW",0.0323310232746536
"c_b","ROW","USA",5.38964266685157E-5
"c_b","ROW","ROW",0.00245319271674983
"pfb","USA","ROW",0.0205291432134274
"pfb","ROW","USA",0.00333427521625365
"pfb","ROW","ROW",0.0230214606216926
"ocr","USA","ROW",0.0935534463436659
"ocr","ROW","USA",0.0152451911774238
"ocr","ROW","ROW",0.0479099522355345
"ctl","USA","ROW",0.0175131606486731
"ctl","ROW","USA",0.00307297021770006
"ctl","ROW","ROW",0.0562313063330641
"oap","USA","ROW",0.0563741311119671
"oap","ROW","USA",0.00274191353458718
"oap","ROW","ROW",0.0320770381589144
"wol","ROW","USA",0.00163325453139392
"wol","ROW","ROW",0.214811465245451
"frs","USA","ROW",0.00416936982597883
"frs","ROW","USA",0.00252470344282646
"frs","ROW","ROW",0.0101628531797479
"fsh","USA","ROW",0.0391268366930997
"fsh","ROW","USA",0.000557861272308949
"fsh","ROW","ROW",0.0293655949283329
"coa","USA","ROW",0.00281412540116249
"coa","ROW","ROW",0.00500868319423619
"oil","ROW","USA",0.000476525118192732
"oil","ROW","ROW",0.00323641561060139
"gas","USA","ROW",0.000843751260516493
"gas","ROW","ROW",0.00277654908375434
"omn","USA","ROW",0.00339367760613181
"omn","ROW","USA",0.000153162334049231
"omn","ROW","ROW",0.00553121296624387
"cmt","USA","ROW",0.149169976304072
"cmt","ROW","USA",0.0234152466169534
"cmt","ROW","ROW",0.149476547940205
"omt","USA","ROW",0.292327529646734
"omt","ROW","USA",0.00586788581197979
"omt","ROW","ROW",0.106415701632506
"vol","USA","ROW",0.0679000043294886
"vol","ROW","USA",0.00299595904569305
"vol","ROW","ROW",0.100674762213807
"mil","USA","ROW",0.221018275369801
"mil","ROW","USA",0.102634142757901
"mil","ROW","ROW",0.0699032454239639
"pcr","USA","ROW",0.591262400736573
"pcr","ROW","USA",0.00723677963086572
"pcr","ROW","ROW",0.13753552273314
"sgr","USA","ROW",0.0554105333741563
"sgr","ROW","USA",0.060605170576152
"sgr","ROW","ROW",0.132020697019416
"ofd","USA","ROW",0.111779740715789
"ofd","ROW","USA",0.0226698725694324
"ofd","ROW","ROW",0.0596817739357314
"b_t","USA","ROW",0.0964467720963433
"b_t","ROW","USA",0.0106505195836751
"b_t","ROW","ROW",0.102102801823103
"tex","USA","ROW",0.0300553139416987
"tex","ROW","USA",0.0685365966571972
"tex","ROW","ROW",0.0612895074432608
"wap","USA","ROW",0.0838417368953704
"wap","ROW","USA",0.102042170918913
"wap","ROW","ROW",0.0735536416704798
"lea","USA","ROW",0.0681395435299274
"lea","ROW","USA",0.123063809888634
"lea","ROW","ROW",0.073475523935749
"lum","USA","ROW",0.0208948278093273
"lum","ROW","USA",0.00356163251046666
"lum","ROW","ROW",0.0239074919995624
"ppp","USA","ROW",0.0139491764745091
"ppp","ROW","USA",2.7761438981482E-5
"ppp","ROW","ROW",0.0165112865190861
"p_c","USA","ROW",0.0172437216224563
"p_c","ROW","USA",0.0084955728039725
"p_c","ROW","ROW",0.0187881693333485
"crp","USA","ROW",0.0269608483836116
"crp","ROW","USA",0.0116764170465992
"crp","ROW","ROW",0.0234699856937237
"nmm","USA","ROW",0.0443134341602775
"nmm","ROW","USA",0.0288538976040195
"nmm","ROW","ROW",0.0440290031706097
"i_s","USA","ROW",0.0149744181326357
"i_s","ROW","USA",0.00209419227397695
"i_s","ROW","ROW",0.021669012635811
"nfm","USA","ROW",0.0131769126086995
"nfm","ROW","USA",0.00521690116401278
"nfm","ROW","ROW",0.0159963839672621
"fmp","USA","ROW",0.0339666236997491
"fmp","ROW","USA",0.0156069539753105
"fmp","ROW","ROW",0.0340402891045859
"mvh","USA","ROW",0.0459264434750706
"mvh","ROW","USA",0.00561625951084299
"mvh","ROW","ROW",0.0551612289212487
"otn","USA","ROW",0.0122890341172409
"otn","ROW","USA",0.00451421952437722
"otn","ROW","ROW",0.0338663176578777
"ele","USA","ROW",0.00683971575725271
"ele","ROW","USA",0.00182648042970449
"ele","ROW","ROW",0.011101330640954
"ome","USA","ROW",0.0229229826949942
"ome","ROW","USA",0.00791342635245675
"ome","ROW","ROW",0.0275035706685205
"omf","USA","ROW",0.0368545787771902
"omf","ROW","USA",0.0101925540340973
"omf","ROW","ROW",0.0333905753971466
"ely","USA","ROW",2.80660410897584E-5
"ely","ROW","ROW",0.000543276374407015
