"ii","rr","ss","Val"
"wht","ROW","USA",0.00118910761186281
"wht","ROW","ROW",0.000517315852954196
"gro","ROW","USA",0.000717784654793177
"gro","ROW","ROW",0.000301428050205257
"v_f","ROW","USA",0.00029232739268914
"v_f","ROW","ROW",0.00097903414702506
"ocr","ROW","USA",6.14033180585221E-6
"ocr","ROW","ROW",0.000123749426442019
"ctl","ROW","ROW",0.00547711611202592
"oap","ROW","ROW",9.16355827778227E-6
"rmk","USA","ROW",-0.000194631715882712
"rmk","ROW","USA",-0.0120325298745505
"rmk","ROW","ROW",-0.00792681286319217
"fsh","ROW","USA",2.11132561138949E-5
"fsh","ROW","ROW",0.00137516695631753
"coa","USA","ROW",-0.000901039988114295
"coa","ROW","USA",-0.00187821621694208
"coa","ROW","ROW",-0.00440922532363138
"oil","ROW","USA",-0.0120319246735494
"oil","ROW","ROW",-0.0486553069709274
"gas","USA","ROW",-8.97602772410187E-5
"gas","ROW","USA",-0.00138586846792335
"gas","ROW","ROW",-0.266917162205309
"omn","USA","ROW",-0.00013185687085829
"omn","ROW","USA",-0.0106848603806006
"omn","ROW","ROW",-0.0106228886347562
"cmt","ROW","USA",6.94522777721556E-5
"cmt","ROW","ROW",0.00199774170769558
"omt","ROW","USA",0.00211952764982124
"omt","ROW","ROW",0.00448256400842111
"mil","ROW","USA",0.000510840815253223
"mil","ROW","ROW",0.0155406024509899
"sgr","ROW","USA",0.00134264113432423
"sgr","ROW","ROW",0.031011991879649
"ofd","ROW","USA",0.000286234518864796
"ofd","ROW","ROW",0.00071574528307235
"b_t","ROW","ROW",0.00027998808426031
"tex","USA","ROW",-0.000619357618431081
"tex","ROW","USA",-0.0864002392295927
"tex","ROW","ROW",-0.0206996639079099
"wap","USA","ROW",-0.000151774915176276
"wap","ROW","USA",-0.226846753237467
"wap","ROW","ROW",-0.0337579190344608
"lea","USA","ROW",-0.000159431482905995
"lea","ROW","USA",-0.0167040017250027
"lea","ROW","ROW",-0.0105628524588082
"lum","USA","ROW",-0.00215164004805033
"lum","ROW","USA",-0.0159745309901042
"lum","ROW","ROW",-0.0140212959724522
"ppp","USA","ROW",-0.00211773999397273
"ppp","ROW","USA",-0.0086175269066223
"ppp","ROW","ROW",-0.0063531685482493
"p_c","USA","ROW",-0.00416486609997938
"p_c","ROW","USA",-0.0483528156359736
"p_c","ROW","ROW",-0.0417688684321349
"crp","USA","ROW",-0.00436615250324951
"crp","ROW","USA",-0.00846922807117356
"crp","ROW","ROW",-0.00635702208787439
"nmm","USA","ROW",-0.00161718733670293
"nmm","ROW","USA",-0.0190473483969405
"nmm","ROW","ROW",-0.0121620884735578
"i_s","USA","ROW",-0.000123383003399031
"i_s","ROW","USA",-0.0131647103407645
"i_s","ROW","ROW",-0.00926580258143275
"nfm","USA","ROW",-0.000845060698420488
"nfm","ROW","USA",-0.00440547914631627
"nfm","ROW","ROW",-0.00605030370624784
"fmp","USA","ROW",-0.00315896578008081
"fmp","ROW","USA",-0.0137030078720066
"fmp","ROW","ROW",-0.00876197504309468
"mvh","USA","ROW",-0.00110529969643201
"mvh","ROW","USA",-0.00250054983820662
"mvh","ROW","ROW",-0.0042521294830167
"otn","USA","ROW",-0.000689499744785121
"otn","ROW","USA",-0.00229092201262965
"otn","ROW","ROW",-0.00478807923152615
"ele","USA","ROW",-0.00651636860838419
"ele","ROW","USA",-0.00767842517010771
"ele","ROW","ROW",-0.00507910989687975
"ome","USA","ROW",-0.00387652474130884
"ome","ROW","USA",-0.00751165725982491
"ome","ROW","ROW",-0.00549493997112287
"omf","USA","ROW",-0.00552154156969184
"omf","ROW","USA",-0.0186719273065909
"omf","ROW","ROW",-0.0143893446146291
