"ff","Dim2","rr","Val"
"lnd","pdr","USA",0.424230970146841
"lnd","pdr","ROW",71.5542158587569
"lnd","wht","USA",4.3659937397704
"lnd","wht","ROW",28.8984777375478
"lnd","gro","USA",13.5044294384201
"lnd","gro","ROW",40.4323052480047
"lnd","v_f","USA",11.3659764861396
"lnd","v_f","ROW",200.054286932598
"lnd","osd","USA",7.40150853152529
"lnd","osd","ROW",49.6520360919716
"lnd","c_b","USA",0.700018133976968
"lnd","c_b","ROW",17.1431484868692
"lnd","pfb","USA",2.16163019505569
"lnd","pfb","ROW",13.3304150670601
"lnd","ocr","USA",4.26224446901877
"lnd","ocr","ROW",68.663830210558
"lnd","ctl","USA",3.4281709226767
"lnd","ctl","ROW",37.2837280525631
"lnd","oap","USA",3.37394472580847
"lnd","oap","ROW",74.1914065696415
"lnd","rmk","USA",2.31588256808446
"lnd","rmk","ROW",49.3174176728478
"lnd","wol","ROW",4.21197459753637
"lab","isr","USA",208.007531487317
"lab","isr","ROW",245.490540524211
"lab","obs","USA",1113.75422705782
"lab","obs","ROW",2101.78125492365
"lab","ros","USA",315.579356332891
"lab","ros","ROW",675.542039235567
"lab","osg","USA",2553.43383732727
"lab","osg","ROW",5778.1278987625
"lab","dwe","USA",4.91697054724404
"lab","dwe","ROW",123.917450639533
"lab","pdr","USA",0.474639907449399
"lab","pdr","ROW",91.9153920158046
"lab","wht","USA",3.83061085441805
"lab","wht","ROW",50.5841393514942
"lab","gro","USA",12.3485518752988
"lab","gro","ROW",81.4769823118845
"lab","v_f","USA",13.9532659725795
"lab","v_f","ROW",377.730595351143
"lab","osd","USA",7.40317463608413
"lab","osd","ROW",69.1745717057345
"lab","c_b","USA",0.806124674539607
"lab","c_b","ROW",23.9888614164747
"lab","pfb","USA",1.80445125122159
"lab","pfb","ROW",20.7744673080678
"lab","ocr","USA",4.92404994899917
"lab","ocr","ROW",104.754149395903
"lab","ctl","USA",4.4281287255599
"lab","ctl","ROW",73.1918171288252
"lab","oap","USA",4.3565321224288
"lab","oap","ROW",139.576524483985
"lab","rmk","USA",2.99343920505403
"lab","rmk","ROW",76.9911500255488
"lab","wol","ROW",7.82232881430864
"lab","frs","USA",3.06466906750793
"lab","frs","ROW",73.7963252175517
"lab","fsh","USA",1.13312412868049
"lab","fsh","ROW",60.6719427922377
"lab","coa","USA",9.00440211622004
"lab","coa","ROW",54.378057316057
"lab","oil","USA",24.394020906698
"lab","oil","ROW",147.883580946153
"lab","gas","USA",10.6613119443743
"lab","gas","ROW",55.4883061738895
"lab","omn","USA",12.1872057469747
"lab","omn","ROW",138.084466977283
"lab","cmt","USA",20.2782353816423
"lab","cmt","ROW",45.2166950632472
"lab","omt","USA",17.4554330436419
"lab","omt","ROW",43.9903425369896
"lab","vol","USA",1.33183516111769
"lab","vol","ROW",30.2788789220824
"lab","mil","USA",12.4883757615541
"lab","mil","ROW",64.5634748132882
"lab","pcr","USA",0.688845256865271
"lab","pcr","ROW",23.1566853606497
"lab","sgr","USA",1.76439003066469
"lab","sgr","ROW",20.5457693800162
"lab","ofd","USA",71.4705911684877
"lab","ofd","ROW",271.288969134695
"lab","b_t","USA",19.8568394998002
"lab","b_t","ROW",122.79143765904
"lab","tex","USA",39.7806377660933
"lab","tex","ROW",179.951307064892
"lab","wap","USA",23.1188445923035
"lab","wap","ROW",143.294907375601
"lab","lea","USA",3.98379232997465
"lab","lea","ROW",66.2735050025526
"lab","lum","USA",82.5636585439419
"lab","lum","ROW",113.876348321735
"lab","ppp","USA",146.316604023291
"lab","ppp","ROW",283.278177648831
"lab","p_c","USA",6.20512015779681
"lab","p_c","ROW",47.8471476056633
"lab","crp","USA",204.545415049506
"lab","crp","ROW",610.340668903254
"lab","nmm","USA",46.8497148557615
"lab","nmm","ROW",226.764509867722
"lab","i_s","USA",48.1282198323507
"lab","i_s","ROW",201.87196794734
"lab","nfm","USA",27.0051254137094
"lab","nfm","ROW",133.906318880852
"lab","fmp","USA",114.511681812317
"lab","fmp","ROW",319.751271255079
"lab","mvh","USA",91.8809129359089
"lab","mvh","ROW",318.403860478091
"lab","otn","USA",82.1881503515177
"lab","otn","ROW",146.380748212109
"lab","ele","USA",43.3771273446002
"lab","ele","ROW",321.257743559666
"lab","ome","USA",355.87532610967
"lab","ome","ROW",860.960918551279
"lab","omf","USA",34.2402524013305
"lab","omf","ROW",191.941898939319
"lab","ely","USA",41.6463211527943
"lab","ely","ROW",200.717233886934
"lab","wtr","USA",36.2116276557915
"lab","wtr","ROW",67.2144309164803
"lab","cns","USA",694.326090452868
"lab","cns","ROW",1817.82442930066
"lab","trd","USA",1246.1456655151
"lab","trd","ROW",2516.1236804819
"lab","otp","USA",186.610535080243
"lab","otp","ROW",873.158797006913
"lab","wtp","USA",19.5675955261528
"lab","wtp","ROW",123.110544761886
"lab","atp","USA",44.0443478434632
"lab","atp","ROW",87.1285249544881
"lab","cmn","USA",116.076816629941
"lab","cmn","ROW",384.614109624755
"lab","ofi","USA",814.631379968257
"lab","ofi","ROW",821.054555366318
"cap","isr","USA",41.0163523407734
"cap","isr","ROW",209.555605028799
"cap","obs","USA",213.849355210191
"cap","obs","ROW",2434.5859284774
"cap","ros","USA",114.333206808918
"cap","ros","ROW",578.068074427047
"cap","osg","USA",527.300290312355
"cap","osg","ROW",1687.02231108902
"cap","dwe","USA",1067.84277713531
"cap","dwe","ROW",2852.04483158185
"cap","pdr","USA",0.439136054570549
"cap","pdr","ROW",28.7816564769669
"cap","wht","USA",3.53316500571892
"cap","wht","ROW",22.602897487227
"cap","gro","USA",11.4040951215291
"cap","gro","ROW",33.3619271808016
"cap","v_f","USA",12.8922241678802
"cap","v_f","ROW",134.965842927043
"cap","osd","USA",6.85623451567801
"cap","osd","ROW",35.1818972579787
"cap","c_b","USA",0.744167479685612
"cap","c_b","ROW",20.7640135290005
"cap","pfb","USA",1.66377184608691
"cap","pfb","ROW",9.89898926657162
"cap","ocr","USA",4.54815371906746
"cap","ocr","ROW",56.3910058463549
"cap","ctl","USA",4.08789468275028
"cap","ctl","ROW",37.6141828052526
"cap","oap","USA",3.98106419411611
"cap","oap","ROW",50.381235129084
"cap","rmk","USA",2.76104654332486
"cap","rmk","ROW",39.8357493622074
"cap","wol","ROW",4.10144533860307
"cap","frs","USA",5.93927695415342
"cap","frs","ROW",72.7747703822475
"cap","fsh","USA",1.73265126642966
"cap","fsh","ROW",53.1000974019098
"cap","coa","USA",9.9659685562841
"cap","coa","ROW",65.9153805795819
"cap","oil","USA",72.3579684885516
"cap","oil","ROW",1000.62922136067
"cap","gas","USA",30.3087493641361
"cap","gas","ROW",213.159141135061
"cap","omn","USA",7.27339262707712
"cap","omn","ROW",243.106996980764
"cap","cmt","USA",5.86532042079719
"cap","cmt","ROW",50.6962010123427
"cap","omt","USA",3.62549409120102
"cap","omt","ROW",59.9853395850254
"cap","vol","USA",0.887385929002624
"cap","vol","ROW",38.2771504869507
"cap","mil","USA",9.63878016790524
"cap","mil","ROW",85.0073882530528
"cap","pcr","USA",0.4893468861409
"cap","pcr","ROW",32.9277392297865
"cap","sgr","USA",0.562280311752906
"cap","sgr","ROW",25.7926430664705
"cap","ofd","USA",53.664007033085
"cap","ofd","ROW",317.940031128292
"cap","b_t","USA",29.347873777931
"cap","b_t","ROW",193.184794364997
"cap","tex","USA",13.5454483260649
"cap","tex","ROW",137.616274725842
"cap","wap","USA",4.37397151191056
"cap","wap","ROW",91.9284439297856
"cap","lea","USA",1.49570159472652
"cap","lea","ROW",42.828003249355
"cap","lum","USA",21.9803358125164
"cap","lum","ROW",98.9438153158153
"cap","ppp","USA",67.1620963131078
"cap","ppp","ROW",252.53832399335
"cap","p_c","USA",7.25046983120059
"cap","p_c","ROW",160.733294620293
"cap","crp","USA",153.429605486349
"cap","crp","ROW",767.789981768027
"cap","nmm","USA",19.3406453014671
"cap","nmm","ROW",266.428969837587
"cap","i_s","USA",14.3412554340191
"cap","i_s","ROW",281.463465924803
"cap","nfm","USA",11.0284671836404
"cap","nfm","ROW",168.033982051851
"cap","fmp","USA",29.6887970794798
"cap","fmp","ROW",230.608910101716
"cap","mvh","USA",29.6601948636579
"cap","mvh","ROW",275.964735474973
"cap","otn","USA",19.1132356545772
"cap","otn","ROW",101.294602939633
"cap","ele","USA",21.5430510312239
"cap","ele","ROW",312.174569985096
"cap","ome","USA",111.006604159998
"cap","ome","ROW",624.870876372057
"cap","omf","USA",7.13611142676055
"cap","omf","ROW",212.010543331248
"cap","ely","USA",125.870002707992
"cap","ely","ROW",448.033356805585
"cap","wtr","USA",20.6095895092184
"cap","wtr","ROW",109.015135320098
"cap","cns","USA",108.470823373546
"cap","cns","ROW",1166.73014315172
"cap","trd","USA",399.967335876992
"cap","trd","ROW",2461.01986160084
"cap","otp","USA",82.3357320499977
"cap","otp","ROW",854.627367126907
"cap","wtp","USA",10.9495298393335
"cap","wtp","ROW",157.495131489044
"cap","atp","USA",21.414099292339
"cap","atp","ROW",81.1048904896252
"cap","cmn","USA",171.872511144185
"cap","cmn","ROW",666.329762840957
"cap","ofi","USA",174.474769180582
"cap","ofi","ROW",1128.00254588203
"fix","frs","USA",1.48864147908831
"fix","frs","ROW",18.3588579295812
"fix","fsh","USA",1.84627227137193
"fix","fsh","ROW",72.8976331661292
"fix","coa","USA",15.579265951215
"fix","coa","ROW",84.8571677135277
"fix","oil","USA",53.4216193441981
"fix","oil","ROW",589.338159392939
"fix","gas","USA",5.16612621415911
"fix","gas","ROW",93.6913960562911
"fix","omn","USA",3.26394403362348
"fix","omn","ROW",65.6470699107953
