"ii","Dim2","rr","Val"
"isr","isr","USA",2.46578017166671
"isr","isr","ROW",17.7678254205034
"isr","obs","USA",1.35436442577153
"isr","obs","ROW",3.71292771691993
"isr","ros","USA",0.782108622699865
"isr","ros","ROW",0.922934337025999
"isr","osg","USA",2.00183268180331
"isr","osg","ROW",3.41681839780734
"isr","dwe","USA",3.05090821098192
"isr","dwe","ROW",1.63891271488113
"isr","pdr","USA",0.00556852857225856
"isr","pdr","ROW",0.0587153147463088
"isr","wht","USA",0.0459494201198756
"isr","wht","ROW",0.202012339825348
"isr","gro","USA",0.170387725985806
"isr","gro","ROW",0.102922014403214
"isr","v_f","USA",0.0997736239310591
"isr","v_f","ROW",0.3906328142096
"isr","osd","USA",0.105480918157922
"isr","osd","ROW",0.066780400723917
"isr","c_b","USA",0.000785528663146389
"isr","c_b","ROW",0.034858877220172
"isr","pfb","USA",0.0348404707497152
"isr","pfb","ROW",0.0962117945324742
"isr","ocr","USA",0.0231304033211522
"isr","ocr","ROW",0.10708238933779
"isr","ctl","USA",0.0790314931591998
"isr","ctl","ROW",0.0997662675852566
"isr","oap","USA",0.046738341145077
"isr","oap","ROW",0.131263195770045
"isr","rmk","USA",0.0318368283703347
"isr","rmk","ROW",0.118265478441133
"isr","wol","ROW",0.0542993620048731
"isr","frs","USA",0.000938006130203397
"isr","frs","ROW",0.0721314013282309
"isr","fsh","USA",0.000297300545916066
"isr","fsh","ROW",0.141545699972873
"isr","coa","USA",0.07612515245299
"isr","coa","ROW",0.189365547964078
"isr","oil","USA",0.101446916276285
"isr","oil","ROW",0.993629568556256
"isr","gas","USA",0.102420863946062
"isr","gas","ROW",0.33103540220798
"isr","omn","USA",0.00513986980885099
"isr","omn","ROW",0.690661937894181
"isr","cmt","USA",0.0754683762946531
"isr","cmt","ROW",0.0869790128155504
"isr","omt","USA",0.0376969956489618
"isr","omt","ROW",0.0787887200032037
"isr","vol","USA",0.0010832958383895
"isr","vol","ROW",0.0680580806209465
"isr","mil","USA",0.0662940131254223
"isr","mil","ROW",0.195835921373635
"isr","pcr","USA",0.000150744372528039
"isr","pcr","ROW",0.0252199983540304
"isr","sgr","USA",0.000380838724897204
"isr","sgr","ROW",0.0566700659469685
"isr","ofd","USA",0.0790134078163408
"isr","ofd","ROW",0.604542516481079
"isr","b_t","USA",0.124587325533074
"isr","b_t","ROW",0.354620796748435
"isr","tex","USA",0.0195415160022355
"isr","tex","ROW",0.466471444760805
"isr","wap","USA",0.0382960159450643
"isr","wap","ROW",0.294994978075742
"isr","lea","USA",0.000836401925135675
"isr","lea","ROW",0.0960173543295411
"isr","lum","USA",0.0649946594536739
"isr","lum","ROW",0.28840453862665
"isr","ppp","USA",0.16706652548828
"isr","ppp","ROW",0.530140053572684
"isr","p_c","USA",0.116842830339914
"isr","p_c","ROW",0.396633773773068
"isr","crp","USA",0.256539680380968
"isr","crp","ROW",1.43884876959281
"isr","nmm","USA",0.0437901804430275
"isr","nmm","ROW",0.525773457304984
"isr","i_s","USA",0.0481302528013594
"isr","i_s","ROW",0.516385156494782
"isr","nfm","USA",0.00662597872918939
