"ii","jj","rr","ss","Val"
"otp","pdr","USA","ROW",0.0456548462171923
"otp","pdr","ROW","USA",0.00443199058552273
"otp","pdr","ROW","ROW",0.162696090630663
"otp","wht","USA","ROW",0.234938646123919
"otp","wht","ROW","USA",0.0152854296267033
"otp","wht","ROW","ROW",0.820306604559766
"otp","gro","USA","ROW",0.100858095732809
"otp","gro","ROW","USA",0.00688066903455183
"otp","gro","ROW","ROW",0.524436790294188
"otp","v_f","USA","ROW",1.53396425563528
"otp","v_f","ROW","USA",2.81453374763898
"otp","v_f","ROW","ROW",9.66800391475546
"otp","osd","USA","ROW",0.351480243016966
"otp","osd","ROW","USA",0.0984739708243287
"otp","osd","ROW","ROW",1.72303137023502
"otp","c_b","USA","ROW",1.82492181193084E-6
"otp","c_b","ROW","USA",6.53443566989154E-7
"otp","c_b","ROW","ROW",0.0138537959641544
"otp","pfb","USA","ROW",0.131312985291181
"otp","pfb","ROW","USA",0.00125359649001621
"otp","pfb","ROW","ROW",0.394286219344591
"otp","ocr","USA","ROW",0.145294259818504
"otp","ocr","ROW","USA",0.0623363074202789
"otp","ocr","ROW","ROW",1.88904360530584
"otp","ctl","USA","ROW",0.0096278454089188
"otp","ctl","ROW","USA",0.108167107702873
"otp","ctl","ROW","ROW",0.220864380538405
"otp","oap","USA","ROW",0.098068145119003
"otp","oap","ROW","USA",0.0472031835659291
"otp","oap","ROW","ROW",0.56585562106059
"otp","wol","ROW","USA",0.000260914302663878
"otp","wol","ROW","ROW",0.0351102296088939
"otp","frs","USA","ROW",0.0345305231739185
"otp","frs","ROW","USA",0.0062971693809377
"otp","frs","ROW","ROW",0.631708678929485
"otp","fsh","USA","ROW",0.0143431136412546
"otp","fsh","ROW","USA",0.142232525479281
"otp","fsh","ROW","ROW",0.747250433742475
"otp","coa","USA","ROW",0.0242680593301775
"otp","coa","ROW","USA",0.00367083074583206
"otp","coa","ROW","ROW",1.54667823702015
"otp","oil","ROW","USA",0.968849142557476
"otp","oil","ROW","ROW",5.57749580362072
"otp","gas","USA","ROW",0.0746923041097471
"otp","gas","ROW","USA",0.688488934909925
"otp","gas","ROW","ROW",6.28096093994751
"otp","omn","USA","ROW",0.0692978622731171
"otp","omn","ROW","USA",0.0199760175976553
"otp","omn","ROW","ROW",6.71614031636844
"otp","cmt","USA","ROW",0.203318620266276
"otp","cmt","ROW","USA",0.0793854200221249
"otp","cmt","ROW","ROW",0.985962662256381
"otp","omt","USA","ROW",0.365702587607666
"otp","omt","ROW","USA",0.052259133999527
"otp","omt","ROW","ROW",1.32144660803094
"otp","vol","USA","ROW",0.145754370664072
"otp","vol","ROW","USA",0.292155176435772
"otp","vol","ROW","ROW",2.9646307485067
"otp","mil","USA","ROW",0.0677353959005558
"otp","mil","ROW","USA",0.00625069101777626
"otp","mil","ROW","ROW",1.78952503688599
"otp","pcr","USA","ROW",0.0367263654075214
"otp","pcr","ROW","USA",0.00186268952453975
"otp","pcr","ROW","ROW",1.08040435308445
"otp","sgr","USA","ROW",0.00511984156782273
"otp","sgr","ROW","USA",0.00602567308669677
"otp","sgr","ROW","ROW",0.787720109078975
"otp","ofd","USA","ROW",1.07665762810892
"otp","ofd","ROW","USA",0.853978569111787
"otp","ofd","ROW","ROW",10.7858877420526
"otp","b_t","USA","ROW",0.159031204336032
"otp","b_t","ROW","USA",0.27810071610118
"otp","b_t","ROW","ROW",2.47729989988934
"otp","tex","USA","ROW",0.263722995294374
"otp","tex","ROW","USA",0.16027822076407
"otp","tex","ROW","ROW",8.33711081177774
"otp","wap","USA","ROW",0.0205440596179688
"otp","wap","ROW","USA",0.0875665913802804
"otp","wap","ROW","ROW",4.76720867868631
"otp","lea","USA","ROW",0.0265975955009926
"otp","lea","ROW","USA",0.0137311232023058
"otp","lea","ROW","ROW",2.81727063990873
"otp","lum","USA","ROW",0.475356641998864
"otp","lum","ROW","USA",1.1589580692444
"otp","lum","ROW","ROW",8.99792371259136
"otp","ppp","USA","ROW",0.896253848057822
"otp","ppp","ROW","USA",0.601744699247996
"otp","ppp","ROW","ROW",6.58190923598349
"otp","p_c","USA","ROW",0.477929013771704
"otp","p_c","ROW","USA",0.016818449597049
"otp","p_c","ROW","ROW",4.80447037440224
"otp","crp","USA","ROW",2.45059118232637
"otp","crp","ROW","USA",1.45076911607053
"otp","crp","ROW","ROW",28.7587497158605
"otp","nmm","USA","ROW",0.398618146207358
"otp","nmm","ROW","USA",0.345583938708354
"otp","nmm","ROW","ROW",8.4275417776211
"otp","i_s","USA","ROW",0.604610083633917
"otp","i_s","ROW","USA",0.258888708698738
"otp","i_s","ROW","ROW",8.80885485078517
"otp","nfm","USA","ROW",0.107496843847679
"otp","nfm","ROW","USA",0.230977135526191
