"ii","rr","ss","Val"
"isr","USA","ROW",21.2366020209938
"isr","ROW","USA",41.0436081507951
"isr","ROW","ROW",80.6765960975405
"obs","USA","ROW",114.773038180828
"obs","ROW","USA",100.926356820643
"obs","ROW","ROW",760.153681667792
"ros","USA","ROW",34.8542426463663
"ros","ROW","USA",14.6971720471634
"ros","ROW","ROW",137.959806727958
"osg","USA","ROW",79.2593604485095
"osg","ROW","USA",46.6969009280801
"osg","ROW","ROW",143.04758517754
"pdr","USA","ROW",0.83586518271867
"pdr","ROW","USA",0.0849300505528808
"pdr","ROW","ROW",1.9029318460736
"wht","USA","ROW",13.6494931811204
"wht","ROW","USA",0.692457277430512
"wht","ROW","ROW",39.4812885811736
"gro","USA","ROW",16.379738360043
"gro","ROW","USA",1.01903634394478
"gro","ROW","ROW",28.6587318799998
"v_f","USA","ROW",12.6508845520257
"v_f","ROW","USA",17.491159199771
"v_f","ROW","ROW",99.9905153807031
"osd","USA","ROW",21.7912302044231
"osd","ROW","USA",1.05599545794609
"osd","ROW","ROW",46.5404296856079
"c_b","USA","ROW",0.000683711252349894
"c_b","ROW","USA",0.0275485914737219
"c_b","ROW","ROW",0.141224439862591
"pfb","USA","ROW",9.36643545858068
"pfb","ROW","USA",0.113076832183404
"pfb","ROW","ROW",13.6962861411666
"ocr","USA","ROW",3.91465026869142
"ocr","ROW","USA",12.7454635843388
"ocr","ROW","ROW",68.8638466364793
"ctl","USA","ROW",0.887525223753881
"ctl","ROW","USA",1.80376993628405
"ctl","ROW","ROW",9.7195742387551
"oap","USA","ROW",4.11939638151223
"oap","ROW","USA",2.02273855474754
"oap","ROW","ROW",23.7990009394282
"rmk","USA","ROW",0.00706411760451738
"rmk","ROW","USA",0.0425400838369387
"rmk","ROW","ROW",0.28114252102212
"wol","ROW","USA",0.0580923500979552
"wol","ROW","ROW",4.482197518058
"frs","USA","ROW",2.39797096778662
"frs","ROW","USA",0.531586111370125
"frs","ROW","ROW",19.0282309699946
"fsh","USA","ROW",1.06194203725981
"fsh","ROW","USA",2.22580263390648
"fsh","ROW","ROW",19.3459564216797
"coa","USA","ROW",12.6224755561414
"coa","ROW","USA",1.10348571410833
"coa","ROW","ROW",114.814391969627
"oil","ROW","USA",308.141714486404
"oil","ROW","ROW",1136.11119785106
"gas","USA","ROW",6.37715314610814
"gas","ROW","USA",16.7181515314499
"gas","ROW","ROW",214.554204451831
"omn","USA","ROW",9.81543876975634
"omn","ROW","USA",9.14181585663324
"omn","ROW","ROW",337.195355610264
"cmt","USA","ROW",6.77144448391628
"cmt","ROW","USA",4.09423879275424
"cmt","ROW","ROW",41.3912605170775
"omt","USA","ROW",11.4879731720015
"omt","ROW","USA",2.4841554951882
"omt","ROW","ROW",66.658768154248
"vol","USA","ROW",7.08141494002752
"vol","ROW","USA",7.31155497192848
"vol","ROW","ROW",103.824112937743
"mil","USA","ROW",4.36262706683762
"mil","ROW","USA",2.358575972363
"mil","ROW","ROW",73.2907598970329
"pcr","USA","ROW",1.50519519949664
"pcr","ROW","USA",0.686259915335803
"pcr","ROW","ROW",18.7276352880458
"sgr","USA","ROW",0.301323064385098
"sgr","ROW","USA",3.27410937374295
"sgr","ROW","ROW",34.9488839237049
"ofd","USA","ROW",30.8319346298836
"ofd","ROW","USA",44.5499932370968
"ofd","ROW","ROW",312.418154317861
"b_t","USA","ROW",10.8349646719247
"b_t","ROW","USA",20.5789119821582
"b_t","ROW","ROW",100.823392571496
"tex","USA","ROW",16.2904011146575
"tex","ROW","USA",48.7438826621836
"tex","ROW","ROW",326.358379628056
"wap","USA","ROW",3.43963655572385
"wap","ROW","USA",54.857774998161
"wap","ROW","ROW",229.313397186967
"lea","USA","ROW",2.65613627487421
"lea","ROW","USA",34.0555554300026
"lea","ROW","ROW",135.390915825078
"lum","USA","ROW",11.4099046028294
"lum","ROW","USA",45.0712090120214
"lum","ROW","ROW",179.81786267135
"ppp","USA","ROW",36.7059071014188
"ppp","ROW","USA",26.8542382606221
"ppp","ROW","ROW",224.228142600511
"p_c","USA","ROW",126.550450572927
"p_c","ROW","USA",81.6770628809784
"p_c","ROW","ROW",632.442762747174
"crp","USA","ROW",267.465809321284
"crp","ROW","USA",258.169237524442
"crp","ROW","ROW",1766.70443358718
"nmm","USA","ROW",12.9798351439126
"nmm","ROW","USA",18.7522409200696
"nmm","ROW","ROW",143.421085841229
"i_s","USA","ROW",28.1824773289273
"i_s","ROW","USA",37.929168314191
"i_s","ROW","ROW",410.6443754795
"nfm","USA","ROW",51.4534756722138
"nfm","ROW","USA",64.2988263137544
"nfm","ROW","ROW",561.261292751752
"fmp","USA","ROW",31.9656318455935
"fmp","ROW","USA",41.8879292389045
"fmp","ROW","ROW",291.328616324105
"mvh","USA","ROW",115.422592493236
"mvh","ROW","USA",215.528978203097
"mvh","ROW","ROW",940.103153309981
"otn","USA","ROW",92.5010581351779
"otn","ROW","USA",51.663917856724
"otn","ROW","ROW",321.8959519564
"ele","USA","ROW",95.34680537045
"ele","ROW","USA",280.740961355658
"ele","ROW","ROW",1015.92994447298
"ome","USA","ROW",304.005954922796
"ome","ROW","USA",348.139468849381
"ome","ROW","ROW",1912.43584327029
"omf","USA","ROW",23.972832861647
"omf","ROW","USA",79.5307166839135
"omf","ROW","ROW",222.698362426085
"ely","USA","ROW",1.01894809763855
"ely","ROW","USA",3.84023997923557
"ely","ROW","ROW",50.8769843824306
"wtr","USA","ROW",0.574907779042609
"wtr","ROW","USA",0.409109308480751
"wtr","ROW","ROW",3.0260346835303
"cns","USA","ROW",7.68932537270337
"cns","ROW","USA",3.5716229047291
"cns","ROW","ROW",103.257002621405
"trd","USA","ROW",20.5201828661263
"trd","ROW","USA",27.3774350847862
"trd","ROW","ROW",329.011836253093
"otp","USA","ROW",38.4649285450504
"otp","ROW","USA",50.8600346428603
"otp","ROW","ROW",270.740926402241
"wtp","USA","ROW",2.46152514891699
"wtp","ROW","USA",2.7730914820102
"wtp","ROW","ROW",121.945383706087
"atp","USA","ROW",33.8815900053978
"atp","ROW","USA",41.5586172647476
"atp","ROW","ROW",225.690609191776
"cmn","USA","ROW",13.8070593488663
"cmn","ROW","USA",13.3789077332988
"cmn","ROW","ROW",98.2798263671486
"ofi","USA","ROW",57.4185734879673
"ofi","ROW","USA",40.8904087221362
"ofi","ROW","ROW",184.104824157365
